
2024/10/22 (19:27:30) | ===> btop++ v.1.4.0
2024/10/22 (19:27:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (03:07:51) | ===> btop++ v.1.4.0
2024/10/24 (03:07:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (03:29:33) | ===> btop++ v.1.4.0
2024/10/24 (03:29:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (21:20:36) | ===> btop++ v.1.4.0
2024/10/24 (21:20:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (21:25:56) | ===> btop++ v.1.4.0
2024/10/24 (21:25:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (01:54:15) | ===> btop++ v.1.4.0
2024/10/26 (01:54:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (13:59:19) | ===> btop++ v.1.4.0
2024/10/26 (13:59:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (22:10:21) | ===> btop++ v.1.4.0
2024/10/27 (22:10:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (17:29:15) | ===> btop++ v.1.4.0
2024/11/03 (17:29:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (21:45:11) | ===> btop++ v.1.4.0
2024/11/06 (21:45:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (21:45:42) | ===> btop++ v.1.4.0
2024/11/06 (21:45:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (18:52:11) | ===> btop++ v.1.4.0
2024/11/09 (18:52:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (23:12:24) | ===> btop++ v.1.4.0
2024/11/09 (23:12:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (17:40:50) | ===> btop++ v.1.4.0
2024/11/15 (17:40:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (00:46:49) | ===> btop++ v.1.4.0
2024/11/16 (00:46:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (21:28:28) | ===> btop++ v.1.4.0
2024/12/04 (21:28:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (14:16:32) | ===> btop++ v.1.4.0
2024/12/10 (14:16:32) | WARNING: Intel GPU: Failed to initialize PMU
